playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DWSf2RDTDayIx,Spotify,Happy Beats,0rohJsT6NWsThpukt0Xxdc,Higher Ground (feat. John Martin),0.0841,0.442,206279,0.619,0,1,0.0889,-5.28,1,0.0321,128.318,4,0.382,1,0.868,0.653,1,0,200.23148,Happy
37i9dQZF1DX6xZZEgC9Ubl,Spotify,tear drop,38pmIzTCDkqvZVh1NFmWik,don't fall,0.0484,0.568,205240,0.519,0,1,0.108,-5.227,1,0.0268,159.988,3,0.451,0.795,0.709,0.151,1,0.06376,197.06195,Sad
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,7jXQUrVhEpXdymfFWNDnQW,BED,0.0134,0.663,178088,0.783,0.00179,6,0.325,-4.585,1,0.0393,123.986,4,0.622,0.723,0.642,0.884,1,0,172.25723,Energetic
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,53Dj5PCDhb22qWqmre3YQs,Aw Naw,0.0639,0.652,188707,0.859,0,2,0.0777,-3.746,1,0.0358,109.971,4,0.491,0.275,0.509,0.919,0.712,0.49909,182.97324,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,4nzBST9JdZIy9qfilr93Po,aftermath,0.018,0.617,166610,0.38,0,9,0.112,-9.275,1,0.0361,116.961,4,0.192,0.279,0.43,0.49,0.865,0.07075,162.30168,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,77yuMisqclmt9pq5MnrxRA,Another Dawn,0.0774,0.595,196985,0.866,0.55,2,0.112,-8.219,1,0.0339,121.999,4,0.0346,0,0.111,0.844,1,0.47619,184.57542,Chill
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,51Grh1RyUDcMBbpuyUIUHI,rises the moon,0.947,0.483,161929,0.129,0.145,5,0.106,-20.149,0,0.0349,137.35,3,0.203,0.587,0.496,0.531,0.793,0,154.65651,Sad
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,0OlS52TmtK2gPaEtdmr7DN,No Such Thing as a Broken Heart,0.295,0.651,176893,0.782,0,8,0.107,-4.295,1,0.0718,171.987,4,0.945,0.631,0.763,0.322,1,1.02154,174.71855,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,6Drks6dbqYCZ303NPH4c6T,The Letter,0.0111,0.729,235436,0.621,0.938,7,0.0656,-14.886,0,0.042,126.015,4,0.322,0.693,0.753,1,0.981,0,225.46576,Chill
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,7qGzlqZnl6j8qccvV70PhL,Emily,0.0137,0.581,201658,0.519,0.0000686,8,0.0808,-6.649,1,0.0946,83.998,4,0.267,0.541,0.565,0.178,1,0.17896,198.17651,Angry
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,5ri4zqtWhG07hIuNNDWP76,Fly Away,0.217,0.806,178157,0.513,0,4,0.217,-6.208,1,0.0685,124.988,4,0.503,0.106,0.325,0.786,1,0.22059,175.46739,Energetic
37i9dQZF1DWX83CujKHHOn,Spotify,Alone Again,5wV2TAUTKHcKgaEB6XnWDI,For Now,0.89,0.731,211813,0.233,0,1,0.3,-11.109,1,0.0376,108.008,4,0.408,0.694,0.706,0.573,1,0.24971,206.21062,Sad
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,6pMR5gZyVQQFIzh0NAvX41,4 X 4 Play,0.047,0.731,201711,0.84,0,7,0.0532,-5.224,1,0.0282,93.987,4,0.775,0.719,0.499,0.202,1,0,199.36073,Energetic
37i9dQZF1DX6xZZEgC9Ubl,Spotify,tear drop,2DBzFlduaVzw2EHdP1ZnbG,PAINLESS,0.122,0.753,147758,0.632,0,9,0.198,-8.054,1,0.0423,91.047,4,0.718,0.592,0.599,0.674,1,0,147.75755,Sad
37i9dQZF1DWSf2RDTDayIx,Spotify,Happy Beats,5XXNGa7STjIjs3aE2SYtF1,Too Good To Lose,0.309,0.674,187087,0.95,0.0000314,11,0.319,-1.523,1,0.116,127.093,4,0.47,0.703,0.724,0.394,0.979,2.24073,182.35211,Happy
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,49SL9f1Kz73p0bzsNPTY4l,Northern Downpour,0.0643,0.47,247773,0.474,0,5,0.0645,-9.406,1,0.0262,170.173,4,0.241,0.346,0.331,0.249,0.914,0,236.53587,Sad
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,2BKcZtKFDWpvRkmr25EMNK,More Than I Know,0.0279,0.66,168591,0.917,0,4,0.377,-3.667,0,0.053,107.075,4,0.654,0.609,0.614,0.824,0.95,0,164.16508,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,3PVczFr0abPSkgcwjXJJDh,Let You Know,0.242,0.61,173167,0.571,0.21,5,0.228,-9.432,1,0.0395,89.769,4,0.147,0.701,0.502,0.626,1,0.17397,167.89769,Chill
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,5SFXOMJJ334Wn2PwBHeRZN,Girls Like Us,0.288,0.444,189000,0.648,0,1,0.059,-4.955,1,0.0476,125.706,5,0.171,0.631,0.622,0,1,0.20336,185.75964,Angry
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,6mBlft6IhCJwPNKhnbb0wK,The Bull,0.00799,0.741,189160,0.693,0.00000503,7,0.0896,-6.326,1,0.0575,122.981,4,0.702,0.39,0.5,0.917,0.978,0.20308,178.24799,Energetic
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),0.039,0.673,229507,0.758,0,7,0.341,-3.632,1,0.158,135.956,4,0.542,0.623,0.622,0.274,0.817,0,225.08844,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,3eZmygzZNxqqwOL1yIgBWI,Go Back Now (feat. Beacon),0.0114,0.585,295759,0.803,0.935,6,0.111,-8.263,0,0.03,121.02,4,0.0713,0.847,0.725,0.709,0.97,2.97215,286.77225,Chill
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,0.132,0.454,234800,0.82,0.000969,2,0.115,-4.193,1,0.0567,166.303,4,0.575,0.381,0.436,0.135,0.997,0.34277,230.22005,Sad
37i9dQZF1DX6xZZEgC9Ubl,Spotify,tear drop,7onwQChpDqQoXWlLQ6X4we,Trying,0.298,0.644,183830,0.609,0,10,0.117,-6.005,1,0.0361,94.008,4,0.0903,0.582,0.494,0.462,0.971,0,179.99529,Sad
37i9dQZF1DWX83CujKHHOn,Spotify,Alone Again,4pVqrsykRGIyicylgR2gIx,i hate you for this,0.665,0.543,137532,0.511,0,1,0.302,-7.867,1,0.123,80.643,4,0.373,0.542,0.65,0.155,0.982,0.29619,131.79646,Sad
37i9dQZF1DWXLSRKeL7KwM,Spotify,Energy Booster: Country,143YESFOZqxVGrKEWisbid,I'm Not For Everyone,0.202,0.591,172107,0.741,0,7,0.208,-4.867,1,0.0466,81.995,4,0.635,0.804,0.71,0,0.964,0,163.84,Energetic
37i9dQZF1DX4mWCZw6qYIw,Spotify,songs to scream in the car,19pChrR4hwdINqoOFUo2Hj,Keep Your Head Up Princess,0.97,0.689,198220,0.143,0,6,0.109,-17.374,1,0.264,85.398,4,0.528,0.818,0.854,0.044,0.973,0.1039,187.39084,Angry
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,5ORJq9RvKIVGf1pVWWTUB7,Way Back Home,0.595,0.521,184509,0.493,0.166,1,0.127,-10.006,1,0.0479,107.107,4,0.0517,0.44,0.519,0.365,0.981,0.32005,179.34512,Chill
